Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Proj,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,3,10819,Derrick Henry,BAL,RB,at DAL,rushYds,DraftKings,87.5,over,97.69,-111,-112,0.5261,0.4989,0.0544,0,0.6119,0.0858,0.1129,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,18478,Tre Harris,LAC,WR,at BUF,receptions,Hard Rock,1.5,under,2.74,325,-550,0.2353,0.2176,0.0814,0,0.3211,0.0858,0.1035,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15853,George Pickens,DAL,WR,vs BAL,recYds,BetRivers,39.5,over,75.47,-335,,0.7701,0.7701,,1,0.8557,0.0856,0.0856,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,rushYds,BetRivers,59.5,over,87.97,-305,,0.7531,0.7531,,1,0.8382,0.0852,0.0852,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18500,Matthew Golden,GB,WR,vs ATL,receptions,FanDuel,7.5,over,4,748,,0.1179,0.1179,,1,0.2029,0.0850,0.0850,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,recYds,BetRivers,52.5,over,64.26,-114,-117,0.5327,0.4970,0.0719,0,0.6177,0.0849,0.1207,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,10819,Derrick Henry,BAL,RB,at DAL,rushYds,DraftKings,59.5,over,97.69,-338,,0.7717,0.7717,,1,0.8566,0.0849,0.0849,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,18478,Tre Harris,LAC,WR,at BUF,recYds,Hard Rock,3.5,under,34.63,900,-4000,0.1000,0.0930,0.0756,0,0.1849,0.0849,0.0919,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15265,Kyle Pitts,ATL,TE,at GB,recYds,DraftKings,24.5,over,40.08,-238,,0.7041,0.7041,,1,0.7890,0.0848,0.0848,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,receptions,BetRivers,7.5,over,4.77,700,,0.1250,0.1250,,1,0.2097,0.0847,0.0847,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15850,Jahan Dotson,ATL,WR,at GB,receptions,theScore,1.5,under,1.43,130,-170,0.4348,0.4085,0.0644,0,0.5194,0.0846,0.1109,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
