Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,2,17732,Keon Coleman,BUF,WR,vs DET,receptions,DraftKings,3.5,over,1440,,0.0649,0.0649,,1,0.2218,0.1569,0.1569,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,receptions,DraftKings,5.5,over,314,,0.2415,0.2415,,1,0.3982,0.1567,0.1567,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,Hard Rock,7.5,over,650,,0.1333,0.1333,,1,0.2894,0.1561,0.1561,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushYds,Hard Rock,40.5,under,-250,175,0.7143,0.6627,0.0779,0,0.8703,0.1560,0.2077,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17732,Keon Coleman,BUF,WR,vs DET,receptions,theScore,2.5,over,500,,0.1667,0.1667,,1,0.3225,0.1558,0.1558,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,102.5,over,450,-900,0.1818,0.1681,0.0818,0,0.3372,0.1554,0.1691,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17732,Keon Coleman,BUF,WR,vs DET,receptions,Hard Rock,3.5,over,1400,,0.0667,0.0667,,1,0.2218,0.1552,0.1552,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,Hard Rock,6.5,over,400,,0.2000,0.2000,,1,0.3552,0.1552,0.1552,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,FanDuel,7.5,over,639,,0.1353,0.1353,,1,0.2894,0.1541,0.1541,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushYds,Hard Rock,39.5,under,-230,165,0.6970,0.6487,0.0743,0,0.8510,0.1541,0.2023,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,BetRivers,99.5,over,123,,0.4484,0.4484,,1,0.6025,0.1540,0.1540,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,BetRivers,109.5,over,175,,0.3636,0.3636,,1,0.5159,0.1522,0.1522,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15447,Joshua Palmer,BUF,WR,vs DET,recYds,Hard Rock,24.5,under,-275,190,0.7333,0.6802,0.0782,0,0.8852,0.1519,0.2051,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushYds,Hard Rock,45.5,under,-375,240,0.7895,0.7286,0.0836,0,0.9410,0.1515,0.2124,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17732,Keon Coleman,BUF,WR,vs DET,receptions,BetRivers,2.5,over,480,,0.1724,0.1724,,1,0.3225,0.1500,0.1500,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17732,Keon Coleman,BUF,WR,vs DET,receptions,Hard Rock,2.5,over,475,,0.1739,0.1739,,1,0.3225,0.1485,0.1485,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,receptions,BetRivers,5.5,over,300,,0.2500,0.2500,,1,0.3982,0.1482,0.1482,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15447,Joshua Palmer,BUF,WR,vs DET,recYds,Hard Rock,28.5,under,-375,240,0.7895,0.7286,0.0836,0,0.9369,0.1474,0.2083,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17033,Sam LaPorta,DET,TE,at BUF,recYds,Hard Rock,71.5,under,-400,260,0.8000,0.7423,0.0778,0,0.9473,0.1473,0.2051,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,24.5,over,-450,275,0.8182,0.7542,0.0848,0,0.9651,0.1469,0.2109,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,FanDuel,8.5,over,1099,,0.0834,0.0834,,1,0.2300,0.1466,0.1466,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15447,Joshua Palmer,BUF,WR,vs DET,recYds,Hard Rock,23.5,under,-260,180,0.7222,0.6691,0.0794,0,0.8686,0.1464,0.1995,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,Caesars,90.5,over,-113,-117,0.5305,0.4960,0.0697,0,0.6764,0.1459,0.1804,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,Hard Rock,9.5,over,3000,,0.0323,0.0323,,1,0.1781,0.1459,0.1459,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
