Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Odds,ImpliedProb,OurProb,Edge,EdgeBucket,FlatStakeUnits,KellyStakeUnits,KellyFractionUsed,CapturedAt,Status,Actual,PnlFlatUnits,PnlKellyUnits
2026,1,12559,Mark Andrews,BAL,TE,@ IND,recYds,betrivers,33.5,-117,0.5392,0.6912,0.1521,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14376,Jauan Jennings,MIN,WR,vs GB,receptions,betrivers,2.5,138,0.4202,0.5704,0.1503,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18503,Gunnar Helm,TEN,TE,vs NYJ,receptions,caesars,2.5,111,0.4739,0.6222,0.1483,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14510,Darnell Mooney,NYG,WR,vs DAL,recYds,caesars,19.5,-112,0.5283,0.6755,0.1472,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,17784,Bucky Irving,TB,RB,@ CIN,recYds,fanduel,13.5,-114,0.5327,0.6798,0.1471,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18555,Jaylin Noel,HOU,WR,vs BUF,recYds,betrivers,13.5,-117,0.5392,0.6857,0.1465,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18562,Pat Bryant,DEN,WR,@ KC,recYds,draftkings,23.5,-108,0.5192,0.6654,0.1462,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16689,Josh Downs,IND,WR,vs BAL,receptions,betrivers,4.5,143,0.4115,0.5569,0.1454,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,12559,Mark Andrews,BAL,TE,@ IND,receptions,fanduel,3.5,116,0.4630,0.6082,0.1452,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16042,Chig Okonkwo,WAS,TE,@ PHI,recYds,betrivers,24.5,-120,0.5455,0.6900,0.1445,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16977,Jayden Reed,GB,WR,@ MIN,recYds,circasports,39.5,-110,0.5238,0.6664,0.1426,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18514,Cam Skattebo,NYG,RB,vs DAL,recYds,draftkings,14.5,-115,0.5349,0.6758,0.1409,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,19313,Malachi Fields,NYG,WR,vs DAL,recYds,draftkings,21.5,-109,0.5215,0.6623,0.1407,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13894,KaVontae Turpin,DAL,WR,@ NYG,recYds,draftkings,8.5,-108,0.5192,0.6597,0.1404,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13556,David Montgomery,HOU,RB,vs BUF,rushYds,draftkings,54.5,-109,0.5215,0.6596,0.1381,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13466,Dawson Knox,BUF,TE,@ HOU,recYds,draftkings,13.5,-109,0.5215,0.6595,0.1380,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15459,Noah Gray,KC,TE,vs DEN,receptions,draftkings,1.5,144,0.4098,0.5475,0.1377,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,17021,Theo Johnson,NYG,TE,vs DAL,recYds,draftkings,13.5,-112,0.5283,0.6656,0.1373,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14436,Cole Kmet,CHI,TE,@ CAR,receptions,fanduel,1.5,-122,0.5495,0.6861,0.1365,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15265,Kyle Pitts,ATL,TE,@ PIT,recYds,draftkings,38.5,-110,0.5238,0.6595,0.1357,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14455,Jonathan Taylor,IND,RB,vs BAL,receptions,betrivers,3.5,150,0.4000,0.5352,0.1352,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15868,Drake London,ATL,WR,@ PIT,recYds,hardrock,57.5,-115,0.5349,0.6701,0.1352,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13610,T.J. Hockenson,MIN,TE,vs GB,receptions,thescore,3.5,-105,0.5122,0.6461,0.1339,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
