Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,1,firehose,17021,Theo Johnson,NYG,TE,vs DAL,recYds,draftkings,13.5,over,-112,,0.5283,0.5283,,1,0.6656,0.1373,0.1373,10-15%,1,1,100,lost,9,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14436,Cole Kmet,CHI,TE,@ CAR,receptions,fanduel,1.5,over,-122,,0.5495,0.5495,,1,0.6861,0.1365,0.1365,10-15%,1,1,100,won,2,0.8197,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15265,Kyle Pitts,ATL,TE,@ PIT,recYds,draftkings,38.5,over,-110,,0.5238,0.5238,,1,0.6595,0.1357,0.1357,10-15%,1,1,100,lost,0,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14455,Jonathan Taylor,IND,RB,vs BAL,receptions,betrivers,3.5,over,150,,0.4000,0.4000,,1,0.5352,0.1352,0.1352,10-15%,1,1,100,lost,3,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15868,Drake London,ATL,WR,@ PIT,recYds,hardrock,57.5,over,-115,,0.5349,0.5349,,1,0.6701,0.1352,0.1352,10-15%,1,1,100,lost,29,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,13610,T.J. Hockenson,MIN,TE,vs GB,receptions,thescore,3.5,over,-105,,0.5122,0.5122,,1,0.6461,0.1339,0.1339,10-15%,1,1,100,won,4,0.9524,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15406,DeVonta Smith,PHI,WR,vs WAS,recYds,circasports,66.5,over,-110,,0.5238,0.5238,,1,0.6575,0.1337,0.1337,10-15%,1,1,100,lost,53,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15892,Khalil Shakir,BUF,WR,@ HOU,receptions,betrivers,3.5,over,-122,,0.5495,0.5495,,1,0.6832,0.1337,0.1337,10-15%,1,1,100,won,4,0.8197,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14436,Cole Kmet,CHI,TE,@ CAR,recYds,fanduel,13.5,over,-114,,0.5327,0.5327,,1,0.6651,0.1324,0.1324,10-15%,1,1,100,won,35,0.8772,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16689,Josh Downs,IND,WR,vs BAL,recYds,draftkings,44.5,over,-111,,0.5261,0.5261,,1,0.6579,0.1318,0.1318,10-15%,1,1,100,lost,37,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14378,Michael Pittman,PIT,WR,vs ATL,recYds,betrivers,37.5,over,-118,,0.5413,0.5413,,1,0.6726,0.1313,0.1313,10-15%,1,1,100,won,58,0.8475,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,13590,Tony Pollard,TEN,RB,vs NYJ,recYds,betrivers,8.5,over,-110,,0.5238,0.5238,,1,0.6540,0.1302,0.1302,10-15%,1,1,100,lost,-1,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18445,Omarion Hampton,LAC,RB,vs ARI,recYds,fanduel,12.5,over,-114,,0.5327,0.5327,,1,0.6626,0.1299,0.1299,10-15%,1,1,100,lost,0,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14416,Jalen Hurts,PHI,QB,vs WAS,passYds,draftkings,211.5,over,-112,,0.5283,0.5283,,1,0.6567,0.1284,0.1284,10-15%,1,1,100,lost,203,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
