Season,Split,NFLNewsID,PassAtt,RushAtt,Targets,PassComp,PassYard,PassTD,PassInt,RushYard,RushTD,Receptions,RecYard,RecTD
2025,M,16283,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16284,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16284,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16284,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16287,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16287,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16287,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16288,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16288,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16288,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16290,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16290,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16290,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16291,80.15865138,0.853631449,0,48.36497528,548.916138,3.183949376,3.206346055,2.048715477,0,0,0,0
2025,F,16291,23.28044954,0.253372927,0,13.87834157,162.027954,0.938683541,0.931217982,0.608095026,0,0,0,0
2025,M,16291,50,0.5625,0,30,345,2,2,1.35,0,0,0,0
2025,C,16294,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16294,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16294,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16295,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16295,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16295,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16296,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16296,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16296,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16297,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16297,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16297,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16300,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16300,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16300,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16305,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16305,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16305,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16314,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16314,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16314,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16321,0,0,23.60946517,0,0,0,0,0,0,16.32494098,174.9243807,1.16086286
2025,F,16321,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16321,0,0,7.812648563,0,0,0,0,0,0,5.01519751,50.53927038,0.137338391
2025,C,16325,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16325,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16325,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16330,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16330,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16330,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16333,0,1.99431642,26.86551719,0,0,0,0,17.24604983,0.153278456,17.95451545,203.6221776,1.05568213
2025,F,16333,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16333,0,0.235231398,3.017560265,0,0,0,0,1.672574051,0.00518067,1.812600129,21.13051777,0.074004999
2025,C,16334,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16334,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16334,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16337,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16337,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16337,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16338,0,0,46.12928114,0,0,0,0,0,0,28.4349986,284.9017119,2.087160929
2025,F,16338,0,0,9.230793394,0,0,0,0,0,0,5.176395078,41.99133283,0.220780075
2025,M,16338,0,0,30.30342214,0,0,0,0,0,0,17.98496781,166.8462892,1.104850615
2025,C,16342,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,16342,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,16342,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,16355,0,21.98951725,0.967448975,0,0,0,0,103.7090422,0.371316414,0.967448975,5.80469385,0
