PlayerID,position,year,rush_att,rush_yards,pass_comp,pass_att,pass_yards,Receptions,rec_yards,pass_td,rec_td,rush_td,Targets
15921,RB,2025,4,19,0,0,0,1,10,0,0,0,1
12886,RB,2025,25,106,0,0,0,3,20,0,0,0,3
19234,RB,2025,30,126,0,0,0,8,57,0,0,0,9
19241,RB,2025,66,283,0,0,0,10,65,0,0,1,12
11691,RB,2025,48,189,0,0,0,13,93,0,0,1,16
19306,RB,2025,19,80,0,0,0,4,36,0,0,0,6
15876,RB,2025,267,1368,0,0,0,32,230,0,1,9,38
17690,RB,2025,174,809,0,0,0,13,100,0,0,5,19
18811,RB,2025,150,665,0,0,0,24,197,0,1,5,30
14410,RB,2025,4,18,0,0,0,0,1,0,0,0,0
17057,RB,2025,56,280,0,0,0,18,148,0,1,2,24
15828,RB,2025,39,176,0,0,0,6,52,0,0,1,8
17792,RB,2025,81,356,0,0,0,11,90,0,0,2,13
17091,RB,2025,24,149,0,0,0,8,63,0,0,0,10
14370,RB,2025,0,0,0,0,0,0,0,0,0,0,0
14418,RB,2025,143,738,0,0,0,23,158,0,1,6,28
14657,RB,2025,181,805,0,0,0,42,304,0,1,4,50
18444,RB,2025,1,5,0,0,0,0,0,0,0,0,0
14514,RB,2025,0,0,0,0,0,0,0,0,0,0,0
12401,RB,2025,23,100,0,0,0,5,38,0,0,0,6
17788,RB,2025,31,134,0,0,0,3,26,0,0,0,4
15385,RB,2025,218,935,0,0,0,35,235,0,1,6,42
18506,RB,2025,27,122,0,0,0,4,33,0,0,0,6
19421,RB,2025,10,42,0,0,0,2,12,0,0,0,2
15989,RB,2025,9,41,0,0,0,11,65,0,0,0,13
15222,RB,2025,112,456,0,0,0,43,299,0,1,4,52
16808,RB,2025,278,1450,0,0,0,65,395,0,2,12,79
14639,RB,2025,4,20,0,0,0,0,5,0,0,0,0
18443,RB,2025,34,141,0,0,0,4,39,0,0,0,6
15990,RB,2025,7,35,0,0,0,1,11,0,0,0,2
18450,RB,2025,47,170,0,0,0,12,88,0,0,1,14
16970,RB,2025,0,0,0,0,0,0,0,0,0,0,0
17947,RB,2025,21,101,0,0,0,1,12,0,0,0,2
15810,RB,2025,234,1055,0,0,0,38,276,0,1,7,47
18445,RB,2025,220,982,0,0,0,52,336,0,2,7,64
15468,RB,2025,62,254,0,0,0,8,62,0,0,1,11
18522,RB,2025,133,530,0,0,0,40,266,0,2,5,48
15992,RB,2025,3,12,0,0,0,0,2,0,0,0,0
14392,RB,2025,0,0,0,0,0,0,0,0,0,0,0
19424,RB,2025,5,23,0,0,0,1,9,0,0,0,1
18517,RB,2025,182,875,0,0,0,34,218,0,1,7,41
10819,RB,2025,288,1386,0,0,0,17,146,0,1,13,21
15281,RB,2025,3,16,0,0,0,0,2,0,0,0,0
13427,RB,2025,30,139,0,0,0,23,179,0,1,1,30
17968,RB,2025,34,136,0,0,0,7,62,0,0,1,10
13484,RB,2025,0,0,0,0,0,0,0,0,0,0,0
15242,RB,2025,218,882,0,0,0,33,212,0,1,7,40
11739,RB,2025,27,112,0,0,0,2,17,0,0,0,3
18523,RB,2025,2,8,0,0,0,1,7,0,0,0,1
15239,RB,2025,0,0,0,0,0,0,0,0,0,0,0
17784,RB,2025,202,869,0,0,0,37,286,0,1,5,43
13582,RB,2025,243,1038,0,0,0,35,250,0,1,9,42
18485,RB,2025,55,249,0,0,0,7,55,0,0,1,9
18487,RB,2025,273,1086,0,0,0,54,314,0,3,9,67
12678,RB,2025,0,0,0,0,0,0,0,0,0,0,0
19240,RB,2025,50,209,0,0,0,9,77,0,0,1,12
18515,RB,2025,37,126,0,0,0,3,27,0,0,1,4
16772,RB,2025,9,36,0,0,0,0,0,0,0,0,0
13587,RB,2025,41,184,0,0,0,17,139,0,1,1,22
11763,RB,2025,161,813,0,0,0,41,255,0,2,5,49
17916,RB,2025,42,185,0,0,0,4,33,0,0,1,5
18516,RB,2025,224,922,0,0,0,30,198,0,1,7,38
11732,RB,2025,43,205,0,0,0,9,73,0,0,1,12
18532,RB,2025,0,0,0,0,0,0,0,0,0,0,0
17818,RB,2025,8,28,0,0,0,1,11,0,0,0,2
17795,RB,2025,44,178,0,0,0,18,129,0,1,1,23
19235,RB,2025,203,876,0,0,0,63,391,0,3,6,79
18531,RB,2025,12,53,3,5,33,2,16,0,0,0,2
18449,RB,2025,134,541,0,0,0,20,151,0,1,3,25
18528,RB,2025,2,13,0,0,0,0,0,0,0,0,0
16163,RB,2025,148,748,0,0,0,18,137,0,1,5,22
13477,RB,2025,0,0,0,0,0,0,0,0,0,0,0
11690,RB,2025,257,1086,0,0,0,79,638,0,3,8,92
17039,RB,2025,0,0,0,0,0,0,0,0,0,0,0
19303,RB,2025,27,112,0,0,0,4,33,0,0,0,5
17002,RB,2025,1,8,0,0,0,1,8,0,0,0,1
17319,RB,2025,12,60,0,0,0,2,20,0,0,0,3
11767,RB,2025,11,50,0,0,0,4,34,0,0,0,5
19302,RB,2025,23,99,0,0,0,1,12,0,0,0,1
16898,RB,2025,5,21,0,0,0,0,6,0,0,0,1
15379,RB,2025,3,16,0,0,0,0,5,0,0,0,0
16810,RB,2025,95,518,0,0,0,21,170,0,1,3,26
11707,RB,2025,15,62,0,0,0,2,13,0,0,0,2
18520,RB,2025,149,697,0,0,0,22,175,0,1,4,29
13556,RB,2025,224,929,0,0,0,35,258,0,1,8,41
18530,RB,2025,0,0,0,0,0,0,0,0,0,0,0
10604,RB,2025,16,74,0,0,0,4,31,0,0,0,5
18463,RB,2025,3,16,0,0,0,1,7,0,0,0,1
18521,RB,2025,40,157,0,0,0,9,65,0,0,1,11
15579,RB,2025,3,11,0,0,0,0,1,0,0,0,0
11768,RB,2025,8,35,0,0,0,2,18,0,0,0,3
19422,RB,2025,8,37,0,0,0,2,18,0,0,0,2
16104,RB,2025,92,391,0,0,0,12,84,0,0,2,14
11698,RB,2025,53,220,0,0,0,28,202,0,1,1,32
15875,RB,2025,4,17,0,0,0,0,6,0,0,0,1
13590,RB,2025,179,872,0,0,0,28,176,0,1,6,34
19299,RB,2025,191,836,0,0,0,20,142,0,0,5,24
19301,RB,2025,18,76,0,0,0,6,47,0,0,0,7
19308,RB,2025,12,52,0,0,0,2,19,0,0,0,3
13960,RB,2025,7,26,0,0,0,0,7,0,0,0,1
16108,RB,2025,6,26,0,0,0,2,15,0,0,0,2
16739,RB,2025,304,1446,0,0,0,70,520,0,3,9,86
15907,RB,2025,103,424,0,0,0,14,112,0,0,2,18
16933,RB,2025,153,723,0,0,0,15,126,0,0,4,20
