PlayerID,ID,position,Season,Week,NFLTeamID,Rushes,RushYards,PassComp,PassAtt,PassYards,Receptions,ReceptYds,PassTD,RecptTD,RushTD,Targets
973935,14458,WR,2025,5,CLE,0,0,0,0,0,2,15,0,0,0,5
976251,14383,RB,2025,5,Min,0,0,1,1,32,0,0,1,0,0,0
1067309,17510,RB,2025,5,Min,5,18,0,0,0,0,0,0,0,0,0
1069535,14509,WR,2025,5,Min,0,0,0,0,0,7,123,0,0,0,11
1109731,17130,TE,2025,5,CLE,0,0,0,0,0,0,0,0,0,0,0
1116001,16163,RB,2025,5,Min,13,52,0,0,0,3,4,0,0,1,4
1125737,15989,RB,2025,5,CLE,5,18,0,0,0,2,20,0,0,0,2
1126817,16025,WR,2025,5,Min,1,15,0,0,0,3,27,0,0,0,4
1165333,18496,QB,2025,5,CLE,2,5,19,33,190,0,0,2,0,0,0
1169329,18652,QB,2025,5,Min,1,-1,0,0,0,0,0,0,0,0,0
1178628,17686,WR,2025,5,CLE,0,0,0,0,0,1,22,0,0,0,1
1214250,16895,WR,2025,5,Min,0,0,0,0,0,5,41,0,1,0,6
1215291,17777,WR,2025,5,CLE,1,11,0,0,0,0,0,0,0,0,0
1228728,19095,WR,2025,5,Min,0,0,0,0,0,0,0,0,0,0,0
1287587,18553,WR,2025,5,Min,0,0,0,0,0,0,0,0,0,0,0
1323007,18941,WR,2025,5,CLE,0,0,0,0,0,0,0,0,0,0,0
1383807,18516,RB,2025,5,CLE,23,110,0,0,0,1,18,0,0,0,2
1394752,18472,TE,2025,5,CLE,0,0,0,0,0,4,13,0,1,0,4
1398503,18502,WR,2025,5,CLE,0,0,0,0,0,2,29,0,0,0,7
1399910,18467,RB,2025,5,CLE,1,-4,0,0,0,1,6,0,0,0,2
749185,11805,TE,2025,6,Den,1,7,0,0,0,5,42,0,0,0,6
822367,11871,WR,2025,6,NYJ,0,0,0,0,0,3,25,0,0,0,3
835861,13061,WR,2025,6,Den,0,0,0,0,0,0,0,0,0,0,0
838878,12586,WR,2025,6,Den,0,0,0,0,0,1,17,0,0,0,3
875444,14541,TE,2025,6,Den,0,0,0,0,0,0,0,0,0,0,0
911236,14432,WR,2025,6,NYJ,0,0,0,0,0,0,0,0,0,0,1
946748,15579,RB,2025,6,NYJ,0,0,0,0,0,0,0,0,0,0,0
976513,14418,RB,2025,6,Den,14,40,0,0,0,0,0,0,0,0,1
1056865,16321,TE,2025,6,NYJ,0,0,0,0,0,0,0,0,0,0,0
1059220,15307,WR,2025,6,NYJ,0,0,0,0,0,0,0,0,0,0,0
1110681,15416,QB,2025,6,NYJ,7,31,9,17,45,0,0,0,0,0,0
1122596,15996,TE,2025,6,NYJ,0,0,0,0,0,0,0,0,0,0,0
1132517,16992,TE,2025,6,Den,0,0,0,0,0,2,23,0,1,0,2
1161899,16995,QB,2025,6,Den,5,24,19,30,174,0,0,1,0,0,0
1162537,15810,RB,2025,6,NYJ,22,59,0,0,0,0,0,0,0,0,0
1164889,15829,WR,2025,6,NYJ,0,0,0,0,0,3,13,0,0,0,8
1172401,18522,RB,2025,6,Den,2,4,0,0,0,4,21,0,0,0,4
1176432,17977,WR,2025,6,NYJ,0,0,0,0,0,0,0,0,0,0,0
1213799,16849,WR,2025,6,Den,1,-2,0,0,0,2,30,0,0,0,3
1218653,18646,WR,2025,6,NYJ,0,0,0,0,0,0,0,0,0,0,1
1271609,17057,RB,2025,6,NYJ,2,2,0,0,0,1,-1,0,0,0,1
1271738,17319,RB,2025,6,Den,1,0,0,0,0,0,0,0,0,0,1
1286176,17719,WR,2025,6,Den,1,2,0,0,0,3,19,0,0,0,4
1305866,18562,WR,2025,6,Den,0,0,0,0,0,2,22,0,0,0,2
1381263,18535,TE,2025,6,NYJ,0,0,0,0,0,1,2,0,0,0,1
323205,5971,QB,2025,7,LAR,2,1,21,33,182,0,0,5,0,0,0
555358,9320,QB,2025,7,LAR,3,-3,0,0,0,0,0,0,0,0,0
604176,10854,TE,2025,7,LAR,0,0,0,0,0,3,19,0,0,0,6
611417,9455,WR,2025,7,LAR,0,0,0,0,0,5,35,0,3,0,8
740704,12316,TE,2025,7,JAX,0,0,0,0,0,1,9,0,0,0,4
838179,12061,WR,2025,7,JAX,0,0,0,0,0,1,22,0,0,0,1
976804,16108,RB,2025,7,LAR,0,0,0,0,0,0,0,0,0,0,0
978577,15385,RB,2025,7,JAX,8,44,0,0,0,1,11,0,0,0,3
1060312,14463,TE,2025,7,LAR,0,0,0,0,0,3,47,0,0,0,3
1060550,15246,TE,2025,7,JAX,0,0,0,0,0,2,16,0,0,0,3
1106760,15229,WR,2025,7,LAR,0,0,0,0,0,0,0,0,0,0,0
1107878,15274,WR,2025,7,JAX,0,0,0,0,0,2,50,0,0,0,4
1110711,15357,QB,2025,7,JAX,2,18,23,48,296,0,0,1,0,0,0
1137635,17467,WR,2025,7,LAR,0,0,0,0,0,2,15,0,0,0,3
1161664,17030,TE,2025,7,LAR,0,0,0,0,0,1,4,0,0,0,1
1163273,17688,WR,2025,7,LAR,0,0,0,0,0,2,9,0,0,0,4
1167361,15807,RB,2025,7,LAR,12,54,0,0,0,2,11,0,0,0,3
1229074,16690,WR,2025,7,JAX,3,10,0,0,0,4,52,0,0,0,10
1229540,17690,RB,2025,7,LAR,12,37,0,0,0,1,6,0,0,0,1
1286064,17716,WR,2025,7,JAX,0,0,0,0,0,3,31,0,0,0,7
1286179,18497,TE,2025,7,LAR,0,0,0,0,0,1,31,0,1,0,3
1289332,17081,WR,2025,7,LAR,0,0,0,0,0,1,5,0,1,0,1
1327169,18524,RB,2025,7,JAX,5,22,0,0,0,0,0,0,0,0,0
1378840,18476,RB,2025,7,JAX,0,0,0,0,0,1,4,0,0,0,1
1399275,18578,WR,2025,7,JAX,1,0,0,0,0,8,101,0,1,0,14
590796,10126,RB,2025,10,IND,0,0,0,0,0,1,8,0,0,0,1
712506,12196,TE,2025,10,IND,0,0,0,0,0,0,0,0,0,0,1
748554,10739,WR,2025,10,IND,0,0,0,0,0,0,0,0,0,0,0
752646,12205,WR,2025,10,Atl,0,0,0,0,0,0,0,0,0,0,0
757521,13418,WR,2025,10,Atl,0,0,0,0,0,0,0,0,0,0,0
866973,13634,WR,2025,10,Atl,0,0,0,0,0,0,0,0,0,0,1
879981,13491,QB,2025,10,IND,7,53,19,26,255,0,0,1,0,0,0
910377,15324,TE,2025,10,Atl,0,0,0,0,0,0,0,0,0,0,0
911348,14378,WR,2025,10,IND,0,0,0,0,0,2,19,0,0,0,2
912027,14510,WR,2025,10,Atl,0,0,0,0,0,1,17,0,0,0,8
922040,14608,TE,2025,10,Atl,0,0,0,0,0,1,14,0,0,0,1
1065406,14455,RB,2025,10,IND,32,244,0,0,0,3,42,0,0,3,3
1107027,16022,WR,2025,10,IND,0,0,0,0,0,4,84,0,1,0,7
1107478,17700,QB,2025,10,Atl,1,-1,12,28,177,0,0,1,0,0,0
1123026,15265,TE,2025,10,Atl,0,0,0,0,0,2,38,0,0,0,5
1128538,16034,TE,2025,10,Atl,0,0,0,0,0,0,0,0,0,0,0
1131198,15976,RB,2025,10,Atl,11,57,0,0,0,0,0,0,0,2,0
1166036,13854,WR,2025,10,IND,1,22,0,0,0,0,0,0,0,0,0
1168918,15990,RB,2025,10,IND,1,4,0,0,0,0,0,0,0,0,0
1176431,18044,WR,2025,10,Atl,0,0,0,0,0,0,0,0,0,0,0
1178741,15868,WR,2025,10,Atl,0,0,0,0,0,6,104,0,1,0,8
1215077,16689,WR,2025,10,IND,0,0,0,0,0,1,3,0,0,0,2
1228244,16739,RB,2025,10,Atl,17,84,0,0,0,2,4,0,0,0,2
