Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,2,12483,Josh Allen,BUF,QB,vs DET,passTD,DraftKings,2.5,over,208,,0.3247,0.3247,,1,0.2349,-0.0898,-0.0898,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,passYds,theScore,299.5,over,260,,0.2778,0.2778,,1,0.1880,-0.0898,-0.0898,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15895,Chris Olave,NO,WR,at BAL,anytimeTD,theScore,0.5,over,175,,0.3636,0.3636,,1,0.2739,-0.0898,-0.0898,ev,none,live,20260920941629C7,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,receptions,Caesars,1.5,over,-2000,,0.9524,0.9524,,1,0.8624,-0.0899,-0.0899,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushYds,Hard Rock,10.5,under,525,-1200,0.1600,0.1477,0.0831,0,0.0701,-0.0899,-0.0777,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,13466,Dawson Knox,BUF,TE,vs DET,recYds,theScore,49.5,over,1000,,0.0909,0.0909,,1,0.0011,-0.0899,-0.0899,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12477,DJ Moore,BUF,WR,vs DET,recYds,theScore,49.5,over,-210,,0.6774,0.6774,,1,0.5875,-0.0900,-0.0900,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16032,Cade Otton,TB,TE,vs CLE,anytimeTD,BetMGM,0.5,over,280,,0.2632,0.2632,,1,0.1730,-0.0901,-0.0901,ev,none,live,20260920ABAE4147,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,anytimeTD,FanDuel,0.5,over,-175,,0.6364,0.6364,,1,0.5462,-0.0902,-0.0902,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,Caesars,4.5,under,-145,112,0.5918,0.5565,0.0635,0,0.5015,-0.0904,-0.0550,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,recYds,Caesars,59.5,over,115,,0.4651,0.4651,,1,0.3746,-0.0905,-0.0905,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,10729,Jared Goff,DET,QB,at BUF,passYds,BetRivers,299.5,over,195,,0.3390,0.3390,,1,0.2484,-0.0906,-0.0906,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12477,DJ Moore,BUF,WR,vs DET,receptions,DraftKings,1.5,over,-2700,,0.9643,0.9643,,1,0.8737,-0.0906,-0.0906,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,receptions,Hard Rock,3.5,over,-195,,0.6610,0.6610,,1,0.5703,-0.0907,-0.0907,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,18642,Isaac TeSlaa,DET,WR,at BUF,recYds,Hard Rock,15.5,under,-115,-115,0.5349,0.5000,0.0698,0,0.4441,-0.0908,-0.0559,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15447,Joshua Palmer,BUF,WR,vs DET,recYds,Hard Rock,58.5,over,1000,-4000,0.0909,0.0852,0.0665,0,0.0000,-0.0909,-0.0852,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,rushYds,Hard Rock,39.5,under,550,-1200,0.1538,0.1429,0.0769,0,0.0629,-0.0909,-0.0799,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,18497,Terrance Ferguson,LAR,TE,vs NYG,anytimeTD,FanDuel,0.5,over,390,,0.2041,0.2041,,1,0.1131,-0.0910,-0.0910,ev,none,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15849,Jameson Williams,DET,WR,at BUF,receptions,Hard Rock,3.5,over,-180,,0.6429,0.6429,,1,0.5517,-0.0911,-0.0911,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,recYds,Caesars,29.5,over,-450,,0.8182,0.8182,,1,0.7269,-0.0913,-0.0913,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,recYds,theScore,29.5,over,-450,,0.8182,0.8182,,1,0.7269,-0.0913,-0.0913,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17732,Keon Coleman,BUF,WR,vs DET,recYds,FanDuel,11.5,under,-114,-114,0.5327,0.5000,0.0654,0,0.4413,-0.0914,-0.0587,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushYds,theScore,29.5,over,-110,-120,0.5238,0.4899,0.0693,0,0.4323,-0.0915,-0.0576,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12477,DJ Moore,BUF,WR,vs DET,recYds,FanDuel,59.5,over,-122,,0.5495,0.5495,,1,0.4580,-0.0916,-0.0916,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12477,DJ Moore,BUF,WR,vs DET,recYds,Hard Rock,24.5,over,-1100,525,0.9167,0.8514,0.0767,0,0.8246,-0.0920,-0.0268,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,passYds,Caesars,329.5,over,425,,0.1905,0.1905,,1,0.0981,-0.0924,-0.0924,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,recYds,Hard Rock,19.5,under,375,-650,0.2105,0.1954,0.0772,0,0.1182,-0.0924,-0.0773,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12477,DJ Moore,BUF,WR,vs DET,recYds,Hard Rock,15.5,over,-4000,900,0.9756,0.9070,0.0756,0,0.8829,-0.0927,-0.0242,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,rushYds,Caesars,109.5,over,250,,0.2857,0.2857,,1,0.1929,-0.0928,-0.0928,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,receptions,Caesars,2.5,over,-530,,0.8413,0.8413,,1,0.7484,-0.0928,-0.0928,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,rushAtt,theScore,14.5,over,-325,,0.7647,0.7647,,1,0.6719,-0.0928,-0.0928,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,10729,Jared Goff,DET,QB,at BUF,passYds,DraftKings,309.5,over,234,,0.2994,0.2994,,1,0.2065,-0.0929,-0.0929,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,recYds,BetRivers,29.5,over,-455,,0.8198,0.8198,,1,0.7269,-0.0929,-0.0929,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,recYds,Caesars,109.5,over,900,,0.1000,0.1000,,1,0.0069,-0.0931,-0.0931,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,13590,Tony Pollard,TEN,RB,vs PHI,anytimeTD,DraftKings,0.5,over,190,,0.3448,0.3448,,1,0.2517,-0.0931,-0.0931,ev,none,live,202609208AD46BE9,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,rushYds,Hard Rock,73.5,under,105,-145,0.4878,0.4518,0.0796,0,0.3947,-0.0931,-0.0572,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushAtt,DraftKings,23.5,over,265,,0.2740,0.2740,,1,0.1808,-0.0932,-0.0932,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12477,DJ Moore,BUF,WR,vs DET,recYds,Caesars,60.5,over,-114,-114,0.5327,0.5000,0.0654,0,0.4393,-0.0934,-0.0607,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
