Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Odds,ImpliedProb,OurProb,Edge,RwProj,CapturedAt
2026,1,12619,Baker Mayfield,TB,QB,@ CIN,anytimeTD,caesars,0.5,500,0.1667,0.1219,-0.0448,0.1,2026-09-11T18:12:40.026Z
2026,1,12619,Baker Mayfield,TB,QB,@ CIN,anytimeTD,thescore,0.5,550,0.1538,0.1219,-0.0319,0.1,2026-09-11T18:12:40.026Z
2026,1,12619,Baker Mayfield,TB,QB,@ CIN,anytimeTD,circasports,0.5,625,0.1379,0.1219,-0.0160,0.1,2026-09-11T18:12:40.026Z
2026,1,11718,Chris Godwin,TB,WR,@ CIN,anytimeTD,betr,0.5,182,0.3546,0.3093,-0.0453,0.4,2026-09-11T18:12:40.026Z
2026,1,11718,Chris Godwin,TB,WR,@ CIN,anytimeTD,draftkings,0.5,215,0.3175,0.3093,-0.0082,0.4,2026-09-11T18:12:40.026Z
2026,1,11718,Chris Godwin,TB,WR,@ CIN,anytimeTD,fanduel,0.5,220,0.3125,0.3093,-0.0032,0.4,2026-09-11T18:12:40.026Z
2026,1,11718,Chris Godwin,TB,WR,@ CIN,anytimeTD,mgm,0.5,210,0.3226,0.3093,-0.0133,0.4,2026-09-11T18:12:40.026Z
2026,1,11718,Chris Godwin,TB,WR,@ CIN,anytimeTD,betrivers,0.5,215,0.3175,0.3093,-0.0082,0.4,2026-09-11T18:12:40.026Z
2026,1,11718,Chris Godwin,TB,WR,@ CIN,anytimeTD,caesars,0.5,215,0.3175,0.3093,-0.0082,0.4,2026-09-11T18:12:40.026Z
2026,1,11718,Chris Godwin,TB,WR,@ CIN,anytimeTD,thescore,0.5,210,0.3226,0.3093,-0.0133,0.4,2026-09-11T18:12:40.026Z
2026,1,11718,Chris Godwin,TB,WR,@ CIN,anytimeTD,circasports,0.5,260,0.2778,0.3093,0.0315,0.4,2026-09-11T18:12:40.026Z
2026,1,16282,Ko Kieft,TB,TE,@ CIN,anytimeTD,draftkings,0.5,3500,0.0278,0.0000,-0.0278,0,2026-09-11T18:12:40.026Z
2026,1,16282,Ko Kieft,TB,TE,@ CIN,anytimeTD,fanduel,0.5,2200,0.0435,0.0000,-0.0435,0,2026-09-11T18:12:40.026Z
2026,1,16282,Ko Kieft,TB,TE,@ CIN,anytimeTD,betrivers,0.5,1300,0.0714,0.0000,-0.0714,0,2026-09-11T18:12:40.026Z
2026,1,16282,Ko Kieft,TB,TE,@ CIN,anytimeTD,caesars,0.5,2400,0.0400,0.0000,-0.0400,0,2026-09-11T18:12:40.026Z
2026,1,16282,Ko Kieft,TB,TE,@ CIN,anytimeTD,thescore,0.5,2200,0.0435,0.0000,-0.0435,0,2026-09-11T18:12:40.026Z
2026,1,16032,Cade Otton,TB,TE,@ CIN,anytimeTD,betr,0.5,308,0.2451,0.2212,-0.0239,0.2,2026-09-11T18:12:40.026Z
2026,1,16032,Cade Otton,TB,TE,@ CIN,anytimeTD,draftkings,0.5,320,0.2381,0.2212,-0.0169,0.2,2026-09-11T18:12:40.026Z
2026,1,16032,Cade Otton,TB,TE,@ CIN,anytimeTD,fanduel,0.5,280,0.2632,0.2212,-0.0420,0.2,2026-09-11T18:12:40.026Z
2026,1,16032,Cade Otton,TB,TE,@ CIN,anytimeTD,mgm,0.5,300,0.2500,0.2212,-0.0288,0.2,2026-09-11T18:12:40.026Z
2026,1,16032,Cade Otton,TB,TE,@ CIN,anytimeTD,betrivers,0.5,320,0.2381,0.2212,-0.0169,0.2,2026-09-11T18:12:40.026Z
2026,1,16032,Cade Otton,TB,TE,@ CIN,anytimeTD,caesars,0.5,290,0.2564,0.2212,-0.0352,0.2,2026-09-11T18:12:40.026Z
2026,1,16032,Cade Otton,TB,TE,@ CIN,anytimeTD,thescore,0.5,300,0.2500,0.2212,-0.0288,0.2,2026-09-11T18:12:40.026Z
2026,1,16720,Payne Durham,TB,TE,@ CIN,anytimeTD,betr,0.5,1376,0.0678,0.0198,-0.0479,0,2026-09-11T18:12:40.026Z
2026,1,16720,Payne Durham,TB,TE,@ CIN,anytimeTD,draftkings,0.5,1100,0.0833,0.0198,-0.0635,0,2026-09-11T18:12:40.026Z
2026,1,16720,Payne Durham,TB,TE,@ CIN,anytimeTD,fanduel,0.5,1200,0.0769,0.0198,-0.0571,0,2026-09-11T18:12:40.026Z
2026,1,16720,Payne Durham,TB,TE,@ CIN,anytimeTD,mgm,0.5,1750,0.0541,0.0198,-0.0343,0,2026-09-11T18:12:40.026Z
2026,1,16720,Payne Durham,TB,TE,@ CIN,anytimeTD,betrivers,0.5,1150,0.0800,0.0198,-0.0602,0,2026-09-11T18:12:40.026Z
2026,1,16720,Payne Durham,TB,TE,@ CIN,anytimeTD,caesars,0.5,1200,0.0769,0.0198,-0.0571,0,2026-09-11T18:12:40.026Z
2026,1,16720,Payne Durham,TB,TE,@ CIN,anytimeTD,thescore,0.5,1200,0.0769,0.0198,-0.0571,0,2026-09-11T18:12:40.026Z
2026,1,16728,Sean Tucker,TB,RB,@ CIN,anytimeTD,betr,0.5,428,0.1894,0.2289,0.0396,0,2026-09-11T18:12:40.026Z
2026,1,16728,Sean Tucker,TB,RB,@ CIN,anytimeTD,draftkings,0.5,400,0.2000,0.2289,0.0289,0,2026-09-11T18:12:40.026Z
2026,1,16728,Sean Tucker,TB,RB,@ CIN,anytimeTD,betrivers,0.5,390,0.2041,0.2289,0.0249,0,2026-09-11T18:12:40.026Z
2026,1,16728,Sean Tucker,TB,RB,@ CIN,anytimeTD,caesars,0.5,400,0.2000,0.2289,0.0289,0,2026-09-11T18:12:40.026Z
2026,1,16728,Sean Tucker,TB,RB,@ CIN,anytimeTD,thescore,0.5,450,0.1818,0.2289,0.0471,0,2026-09-11T18:12:40.026Z
