Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Proj,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,3,18500,Matthew Golden,GB,WR,vs ATL,receptions,Hard Rock,9.5,over,4,3000,,0.0323,0.0323,,1,0.0957,0.0635,0.0635,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,14446,Justin Herbert,LAC,QB,at BUF,rushYds,FanDuel,14.5,over,22.63,-212,,0.6795,0.6795,,1,0.7428,0.0633,0.0633,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,receptions,BetRivers,4.5,over,2.74,300,,0.2500,0.2500,,1,0.3133,0.0633,0.0633,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,recYds,DraftKings,49.5,over,64.26,-140,,0.5833,0.5833,,1,0.6464,0.0631,0.0631,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,recYds,Hard Rock,49.5,over,64.26,-140,100,0.5833,0.5385,0.0833,0,0.6464,0.0631,0.1080,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15265,Kyle Pitts,ATL,TE,at GB,recYds,DraftKings,35.5,over,40.08,-113,-109,0.5305,0.5043,0.0520,0,0.5933,0.0628,0.0890,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18445,Omarion Hampton,LAC,RB,at BUF,receptions,FanDuel,0.5,over,2.28,-703,,0.8755,0.8755,,1,0.9381,0.0627,0.0627,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,receptions,Hard Rock,5.5,over,2.74,525,-1200,0.1600,0.1477,0.0831,0,0.2227,0.0627,0.0750,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,18445,Omarion Hampton,LAC,RB,at BUF,rushYds,theScore,89.5,over,69.88,300,,0.2500,0.2500,,1,0.3127,0.0627,0.0627,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,10819,Derrick Henry,BAL,RB,at DAL,rushYds,Hard Rock,73.5,over,97.69,-220,150,0.6875,0.6322,0.0875,0,0.7501,0.0626,0.1179,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
